"No.","Date","Genre","Bibl","URL","ContextBefore","Hit","ContextAfter"
"45","2020-12-01","internetbasiert","Kampf gegen das Coronavirus : Spanien will die Ausgangssperre ausweiten. Handelsblatt_De, 2020-12-01","https://www.handelsblatt.com/politik/international/kampf-gegen-das-coronavirus-spanien-will-die-ausgangssperre-ausweiten/25693092.html","Sie sollen","zuhause","bleiben , erhalten aber weiterhin ihr Gehalt und sollen die nicht gearbeitete Zeit nach der Krise nach und nach wieder durch Mehrarbeit einbringen ."
"46","2020-12-01","internetbasiert","Pandemie: Schluss mit dem britischen Sonderweg – Johnson verhängt Ausgangssperre. Handelsblatt_De, 2020-12-01","https://www.handelsblatt.com/politik/international/pandemie-schluss-mit-dem-britischen-sonderweg-johnson-verhaengt-ausgangssperre/25674788.html","„ Sie müssen","zuhause","bleiben “ , sagte der Premierminister in einer Fernsehansprache an seine Landsleute ."
"47","2020-12-01","internetbasiert","Pandemie: Schluss mit dem britischen Sonderweg – Johnson verhängt Ausgangssperre. Handelsblatt_De, 2020-12-01","https://www.handelsblatt.com/politik/international/pandemie-schluss-mit-dem-britischen-sonderweg-johnson-verhaengt-ausgangssperre/25674788.html","Zunächst appellierte er an seine Landsleute , Pubs , Cafes und Massenveranstaltungen zu meiden und von","zuhause","aus zu arbeiten ."
"48","2020-12-01","internetbasiert","Corona: Symptome, Verlauf, Inkubationszeit, Übertragung von Covid-19. Berliner Morgenpost, 2020-12-01","https://www.morgenpost.de/web-wissen/article228197725/Corona-Symptome-Uebertragung-Tests-Verlauf-von-Covid-19.html","Erkrankte mit leichten Verläufen kurieren sich","zuhause","im Bett aus , wie sie es auch bei einer Grippe oder schweren Erkältung tun würden ."
"49","2020-12-01","internetbasiert","Online-Tagebuch Teil 12: „Lieber Osterhase, kommst du oder hast du Corona?“. Handelsblatt_De, 2020-12-01","https://www.handelsblatt.com/unternehmen/management/online-tagebuch-teil-12-lieber-osterhase-kommst-du-oder-hast-du-corona/25700104.html","Düsseldorf „ Ostern fällt dieses Jahr aus ! “ , erklärte unser Sechsjähriger am Morgen beim Frühstück keck seinem vierjährigen Bruder , und fuhr fort : „ Der muss wegen des Virus nämlich auch","zuhause","bleiben … , oooder Mamaaaa ? “"
"50","2020-12-01","internetbasiert","Online-Tagebuch Teil 12: „Lieber Osterhase, kommst du oder hast du Corona?“. Handelsblatt_De, 2020-12-01","https://www.handelsblatt.com/unternehmen/management/online-tagebuch-teil-12-lieber-osterhase-kommst-du-oder-hast-du-corona/25700104.html","Doch wie halten wir es mit dem Osterhasen hier","zuhause","?"
"51","2020-12-01","internetbasiert","Online-Tagebuch Teil 12: „Lieber Osterhase, kommst du oder hast du Corona?“. Handelsblatt_De, 2020-12-01","https://www.handelsblatt.com/unternehmen/management/online-tagebuch-teil-12-lieber-osterhase-kommst-du-oder-hast-du-corona/25700104.html","„ Lieber Osterhase , bist du krank und bleibst leider","zuhause","? “"
"52","2020-12-01","internetbasiert","Jahreszahlen: Londoner Börse spielt Corona-Sorgen herunter. Handelsblatt_De, 2020-12-01","https://www.handelsblatt.com/finanzen/banken-versicherungen/jahreszahlen-londoner-boerse-spielt-corona-sorgen-herunter/25592846.html","Auch arbeiteten einige Mitarbeiter weltweit von","zuhause","aus ."
"53","2020-12-01","internetbasiert","Gesundheit: Diese Start-ups setzen auf digitale Angebote gegen Depressionen in der Coronakrise. Handelsblatt_De, 2020-12-01","https://www.handelsblatt.com/technik/medizin/gesundheit-diese-start-ups-setzen-auf-digitale-angebote-gegen-depressionen-in-der-coronakrise/25664702.html","Trotzdem sollen alle Bürger , die nicht in Schlüsselberufen tätig sind , vorerst","zuhause","bleiben ."
"54","2020-11-30","internetbasiert","So viel kostet ein Coronavirus-Test - und kommt bald der Schnelltest für Zuhause?. Merkur.de, 2020-11-30","https://www.merkur.de/leben/gesundheit/corona-covid-19-test-zahlt-krankenkasse-coronavirus-test-ablauf-schnelltest-zr-13592278.html","Auch Menschen , die Kontakt zu Patienten mit Corona-Infektion hatten oder in Risikogebieten waren , sollten ihren behandelnden Arzt oder den ärztlichen Notdienst unter der 116117 anrufen , damit der Betroffene entweder isoliert in der Praxis oder","zuhause","untersucht werden kann ."
